Table 1
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Trudi Carter,MF,jm Jamaica,28,1994,2,2,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,3,0,10,0,0.69,0.69,0,0.69,0.12,0.29,0.41,0.12,0.41,Matches
102,Kyra Carusa,FW,ie Rep. of Ireland,27,1995,3,3,240,2.7,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.6,2,0,13,0,0,0,0,0,0.54,0.05,0.59,0.54,0.59,Matches
103,Arianna Caruso,MF,it Italy,23,1999,3,3,210,2.3,2,0,2,1,1,1,1,0,1.6,0.8,0.1,0.9,1,5,4,0.86,0,0.86,0.43,0.43,0.69,0.03,0.71,0.35,0.37,Matches
104,Estelle Cascarino,DF,fr France,26,1997,3,2,190,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,13,9,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
105,Kerstin Casparij,"FW,DF",nl Netherlands,22,2000,5,0,68,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,4,4,0,0,0,0,0,0.18,0.04,0.22,0.18,0.22,Matches
106,Katherine Castillo,DF,pa Panama,27,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
107,Steph Catley,DF,au Australia,29,1994,7,7,660,7.3,2,0,2,0,2,2,0,0,1.6,0.1,1,1,14,30,17,0.27,0,0.27,0,0,0.23,0.14,0.37,0.01,0.15,Matches
108,Emily Cedeño,"FW,MF",pa Panama,19,2003,3,2,184,2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,4,5,11,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05,Matches
109,Lineth Cedeño,FW,pa Panama,22,2000,3,1,121,1.3,1,0,1,1,0,0,0,0,0.6,0.6,0,0.6,1,5,5,0.74,0,0.74,0.74,0.74,0.46,0,0.46,0.46,0.46,Matches
110,Valentina Cernoia,MF,it Italy,31,1991,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0.44,0.44,0,0.44,Matches
